fname,target_word,speech_start,speech_end,gesture_start,gesture_end,word_form,source_file,source_video_start,source_video_end,source_width,source_height,num_frames,pad,bbox
huge/00000,huge,45,54,22,51,huge,fTm1edSg2ws,214.72,218.72,1920,1080,3216,715,"[1135, 541, 2565, 1971]"
global/00001,global,43,55,28,65,global,HTW2Q_UrkAw,313.6,317.6,1920,1080,1339,289,"[289, 862, 868, 1441]"
collect/00000,collect,25,35,7,64,collecting,n7Q7zg3sDRs,301.92,305.92,1920,1080,612,469,"[1380, 611, 2318, 1549]"
below/00003,below,54,64,19,63,below,rxKSIPc05zc,139.92,143.92,1920,1080,366,703,"[795, 541, 2201, 1947]"
mix/00000,mix,47,51,37,68,mix,zWr1CtH3RQQ,358.56,362.56,1280,720,9259,555,"[555, 359, 1666, 1470]"
wrap/00001,wrap,45,53,16,66,wrapped,_R70rONG-TU,583.88,587.88,854,480,2099,427,"[427, 249, 1281, 1103]"
specific/00000,specific,42,56,0,51,specific,w86jtZtiXJY,295.16,299.16,1280,720,793,319,"[945, 460, 1583, 1098]"
block/00000,block,69,77,47,82,block,7KivYl8zuTk,257.72,261.72,1920,1080,1230,751,"[751, 604, 2254, 2107]"
together/00002,together,43,55,0,56,together,y9X3MCE3TIo,72.04,76.04,1920,1080,889,960,"[960, 593, 2880, 2513]"
knock/00000,knock,45,53,3,49,knocked,J_3TKrN_RB4,805.0,809.0,1280,720,739,552,"[728, 360, 1832, 1464]"
height/00001,height,46,53,25,64,height,xCiZkjhmPW4,48.04,52.04,1920,1080,952,540,"[936, 540, 2016, 1620]"
process/00001,process,42,57,19,73,processing,Ysjdqgil6wA,478.32,482.32,1280,720,34604,640,"[640, 360, 1920, 1640]"
hello/00001,hello,43,55,25,50,hello,lpqVXUDj9Lk,0.08,4.08,1280,720,2070,532,"[532, 360, 1596, 1424]"
perfect/00000,perfect,45,54,34,62,perfect,2Tk7AUaExBQ,933.24,937.24,1280,720,785,471,"[624, 363, 1567, 1306]"
condense/00000,condense,43,55,34,60,condensed,h-vDW8bSfCo,433.08,437.08,1280,720,274,403,"[557, 443, 1364, 1250]"
expand/00000,expand,43,56,22,79,expanded,u1aBwwa0WxE,83.56,87.56,1280,720,3135,569,"[704, 357, 1843, 1496]"
move/00000,move,46,52,31,65,moves,yhPH1369OWc,848.72,852.72,1920,1080,4385,660,"[1260, 552, 2580, 1872]"
perfect/00001,perfect,45,53,8,55,perfect,8OTwT0WFBmg,1271.48,1275.48,1920,1080,1498,541,"[589, 539, 1672, 1622]"
four/00000,four,46,53,16,52,four,MQpXKFd-0uk,329.24,333.24,1920,1080,640,290,"[1450, 277, 2031, 858]"
below/00004,below,46,53,25,71,below,JhPnS6gbcIo,316.36,320.36,1920,1080,308,570,"[969, 565, 2110, 1706]"
above/00000,above,46,52,23,49,above,rVJDw6eh7eI,292.64,296.64,1280,720,4604,538,"[538, 360, 1614, 1436]"
together/00003,together,44,54,32,57,together,SbgHegC6lEs,500.84,504.84,1920,1080,1484,572,"[572, 549, 1717, 1694]"
huge/00001,huge,44,55,30,80,huge,zOj0Ro6mp-8,871.56,875.56,1920,1080,1478,591,"[912, 549, 2095, 1732]"
below/00005,below,45,53,29,54,below,_GrjO-oRQ5M,394.0,398.0,1920,1080,219,596,"[596, 539, 1789, 1732]"
turn/00000,turn,46,52,14,55,turn,27ZsQ9PjSW0,639.48,643.48,1920,1080,201,896,"[896, 539, 2689, 2332]"
together/00004,together,45,53,19,67,together,DbyVSc_62uE,680.68,684.68,1920,1080,19837,682,"[1238, 543, 2602, 1907]"
entire/00002,entire,29,38,16,53,entire,grTYgk0wN9o,1055.16,1059.16,1920,1080,836,357,"[1349, 683, 2064, 1398]"
below/00006,below,44,55,39,75,below,fiqe80PE1lk,56.88,60.88,1280,720,456,507,"[736, 389, 1750, 1403]"
five/00000,five,46,53,19,87,five,9yHO50WHMMg,299.76,303.76,640,480,2610,320,"[320, 259, 960, 899]"
evolve/00000,evolve,42,57,0,60,evolved,b2PTNBnb_aw,458.56,462.56,1280,720,443,403,"[540, 374, 1346, 1180]"
bye/00002,bye,81,85,75,98,bye,4uB8sMUjfFM,349.72,353.72,1920,1080,836,457,"[906, 487, 1821, 1402]"
hold/00001,hold,47,52,17,53,held,2GTB0LKQLU4,405.16,409.16,1920,1080,321,753,"[753, 581, 2259, 2087]"
layer/00000,layer,45,54,34,63,layer,Mqh8JMmPfHo,224.76,228.76,1920,1080,22123,960,"[960, 540, 2880, 2460]"
round/00000,round,47,52,25,69,round,_rBsARU6s_E,25.08,29.08,1920,1080,513,407,"[1396, 672, 2211, 1487]"
hello/00002,hello,2,9,3,44,hello,Gl0k-MUlapk,584.32,588.32,1920,1080,213,757,"[757, 554, 2272, 2069]"
track/00000,track,47,52,46,61,track,yzPPnP9FQeI,253.76,257.76,1920,1080,585,868,"[1052, 551, 2788, 2287]"
throw/00001,throw,46,53,35,75,throw,t65aerh16gg,415.6,419.6,1920,1080,389,638,"[1020, 560, 2297, 1837]"
bye/00003,bye,61,62,44,84,bye,W0oVcL3DOt0,889.8,893.8,1280,720,85,447,"[622, 425, 1516, 1319]"
above/00001,above,46,52,0,55,above,bCtaK583DaE,186.24,190.24,1280,720,824,435,"[677, 360, 1547, 1230]"
straight/00002,straight,46,53,0,57,straight,Qo4Nvfvxe9Q,75.8,79.8,1920,1080,11248,674,"[674, 553, 2023, 1902]"
bottom/00000,bottom,45,54,45,79,bottom,Iv-Rc_V08-s,1722.32,1726.32,1920,1080,941,223,"[1681, 927, 2128, 1374]"
high/00000,high,47,51,37,61,high,DG1k8E_YDjo,1548.68,1552.68,1920,1080,13062,772,"[1148, 540, 2692, 2084]"
huge/00002,huge,41,57,36,75,huge,v3Kw51WO6ps,88.6,92.6,1920,1080,1328,811,"[1109, 540, 2731, 2162]"
cross/00001,cross,45,54,25,72,crossed,xzwAqHg0Bro,188.44,192.44,1920,1080,348,457,"[1234, 457, 1831, 1273]"
move/00001,move,47,51,25,50,move,8pVB3aAJiVA,363.68,367.68,1920,1080,739,728,"[946, 564, 2402, 2020]"
huge/00003,huge,45,53,37,62,huge,V4pdnH7dAWM,162.44,166.44,1280,720,1523,640,"[640, 360, 1920, 1640]"
narrow/00000,narrow,44,54,4,73,narrowed,eoKOm-B_6lk,1075.92,1079.92,1920,1080,322,311,"[1471, 481, 2094, 1104]"
turn/00001,turn,46,53,25,78,turn,7wIgqUhYh2w,90.4,94.4,1920,1080,2715,951,"[951, 539, 2854, 2442]"
below/00007,below,47,52,44,65,below,s6oE89oe_vw,133.36,137.36,1280,720,5114,241,"[1039, 300, 1521, 782]"
stop/00000,stop,46,52,18,58,stop,G8i-Wo_LreE,315.44,319.44,1920,1080,10999,841,"[1079, 616, 2761, 2298]"
two/00000,two,45,54,37,61,two,6kYN-PqzXHc,94.88,98.88,1920,1080,268,660,"[919, 666, 2239, 1986]"
hello/00003,hello,43,55,25,75,hello,CmNszHcS2b4,122.96,126.96,1920,1080,232,430,"[542, 679, 1403, 1540]"
bye/00004,bye,89,93,84,96,bye,22AgnRloZtc,481.0,485.0,1920,1080,1483,960,"[960, 540, 2880, 2460]"
bounce/00000,bounce,45,53,0,80,bounce,ZR4fVbzVjH4,47.72,51.72,1280,720,769,333,"[333, 278, 1000, 945]"
press/00000,press,45,53,39,87,pressed,wUzehzbDNXw,274.8,278.8,1920,1080,1792,645,"[1028, 558, 2318, 1848]"
top/00000,top,46,53,0,47,top,2tuk50-YFrI,240.72,244.72,1920,1080,447,786,"[786, 539, 2359, 2112]"
three/00000,three,47,52,48,99,three,7twyuboaHVg,345.76,349.76,1280,720,316,638,"[638, 359, 1915, 1636]"
whole/00000,whole,47,52,0,72,whole,oavSYWTT7yU,1042.52,1046.52,1280,720,443,435,"[576, 393, 1446, 1263]"
bye/00005,bye,76,84,68,95,bye,R6Z5dwRp928,817.16,821.16,1280,720,990,603,"[603, 359, 1810, 1566]"
specific/00001,specific,51,58,33,59,specific,0U0mWj1TLFs,473.92,477.92,1280,720,59,493,"[493, 373, 1480, 1360]"
spin/00000,spin,46,52,28,67,spin,n_yx_BrdRF8,441.4,445.4,1920,1080,7107,960,"[960, 540, 2880, 2460]"
small/00000,small,46,53,29,50,small,DO97FWf9IxA,157.12,161.12,1280,720,6241,505,"[713, 359, 1724, 1370]"
horizontal/00000,horizontal,39,59,25,92,horizontal,6fGgM-SEBWk,1223.76,1227.76,1280,720,1997,596,"[598, 359, 1791, 1552]"
hold/00002,hold,47,51,24,69,hold,aaak9-mgaNw,408.56,412.56,1920,1080,415,960,"[960, 540, 2880, 2460]"
narrow/00001,narrow,43,56,24,55,narrowed,M38iT1KTuSM,265.24,269.24,1920,1080,4472,960,"[960, 540, 2880, 2460]"
switch/00001,switch,24,32,0,44,switch,Uz2tBKfOJu4,279.92,283.92,1920,1080,118,649,"[821, 549, 2119, 1847]"
evolve/00001,evolve,45,53,32,99,evolved,TnT5xHwq_ww,286.4,290.4,1920,1080,499,540,"[1246, 540, 2326, 1620]"
entire/00003,entire,44,55,32,99,entire,oavSYWTT7yU,129.48,133.48,1280,720,998,472,"[675, 361, 1620, 1306]"
direction/00003,direction,43,55,6,74,direction,YYv_EGTLGhQ,67.04,71.04,1920,1080,1927,762,"[1126, 638, 2650, 2162]"
bye/00006,bye,45,53,37,57,bye,Elj_f1Am0KU,753.64,757.64,1920,1080,6824,960,"[960, 540, 2880, 2460]"
straight/00003,straight,46,53,25,60,straight,XTxvhwD9jqs,117.32,121.32,1280,720,3368,548,"[732, 367, 1828, 1463]"
force/00000,force,46,53,0,25,force,MpwKzwBdBEQ,338.76,342.76,1920,1080,833,960,"[960, 543, 2880, 2463]"
large/00001,large,61,76,50,99,large,1crkN_n7Pnc,498.28,502.28,1920,1080,383,477,"[681, 615, 1635, 1569]"
circle/00001,circle,43,55,29,91,circles,D1xaTgVNGSY,316.84,320.84,1920,1080,391,520,"[1145, 559, 2186, 1600]"
mix/00001,mix,47,52,25,50,mix,epxOcZR8oXU,379.8,383.8,1920,1080,3217,945,"[975, 544, 2865, 2434]"
height/00002,height,47,51,25,60,height,wdlpUN7w7wg,571.08,575.08,1280,720,643,425,"[425, 360, 1275, 1210]"
hello/00004,hello,40,58,25,75,hello,tvqajCgCKwM,397.08,401.08,1920,1080,15523,960,"[960, 540, 2880, 2460]"
zoom/00000,zoom,9,15,0,20,zoom,tq6be-CZJ3w,123.96,127.96,1920,1080,178,414,"[916, 587, 1744, 1415]"
specific/00002,specific,43,55,39,64,specific,H5Ntgx-Huwo,830.68,834.68,720,480,427,319,"[321, 243, 960, 882]"
entire/00004,entire,32,45,25,51,entire,TIMGH2z1eh4,356.32,360.32,1920,1080,111,712,"[712, 582, 2137, 2007]"
increase/00001,increase,43,55,25,50,increasing,ZdPhAe3bEwI,228.8,232.8,1920,1080,474,629,"[1228, 513, 2486, 1771]"
wave/00001,wave,46,53,32,71,wave,vEdwjq7f2tw,316.32,320.32,1920,1080,5247,322,"[1597, 540, 2242, 1185]"
below/00008,below,44,55,21,52,below,IrUDOyeCRGs,419.44,423.44,1280,720,9383,640,"[640, 365, 1920, 1645]"
lift/00000,lift,46,53,28,69,lift,5gIp6nHM3d8,273.24,277.24,1280,720,981,388,"[388, 360, 1164, 1136]"
join/00001,join,45,54,0,99,joining,ezTrI7_jluI,507.36,511.36,1920,1080,4683,871,"[1035, 540, 2777, 2282]"
block/00001,block,45,54,32,61,blocks,VLSLakpMNl0,556.92,560.92,854,480,1218,329,"[504, 263, 1162, 921]"
engage/00000,engage,15,31,0,32,engaged,lJhHy8sJhXQ,512.8,516.8,1280,720,1106,586,"[616, 384, 1789, 1557]"
move/00002,move,47,52,25,50,move,zytQxKhPMiI,401.16,405.16,1920,1080,118,524,"[981, 553, 2030, 1602]"
build/00000,build,89,96,69,99,build,umLXRiDYIwk,1092.0,1096.0,1280,720,372,425,"[805, 374, 1656, 1225]"
expand/00001,expand,42,56,34,68,expands,QebsqTtNjy8,150.24,154.24,1280,720,8212,397,"[598, 362, 1392, 1156]"
hold/00003,hold,45,53,34,48,hold,QHwVglPQR_w,371.44,375.44,1280,720,888,370,"[370, 360, 1110, 1100]"
expand/00002,expand,44,54,34,99,expanding,mT9lGv69h2M,373.16,377.16,1280,720,8061,640,"[640, 360, 1920, 1640]"
overlap/00000,overlap,44,55,0,52,overlap,9boJ-Ai6QFM,1444.88,1448.88,1920,1080,10960,541,"[541, 619, 1623, 1701]"
bye/00007,bye,61,67,57,88,bye,en0CBn8UQRM,296.24,300.24,1280,720,90,375,"[899, 386, 1650, 1137]"
stretch/00001,stretch,43,55,25,68,stretch,XAXdhSy2Q8E,276.64,280.64,1920,1080,209,444,"[1079, 490, 1968, 1379]"
push/00003,push,46,53,41,95,push,ugo_Qeudnfk,42.76,46.76,1920,1078,1080,960,"[960, 540, 2880, 2460]"
push/00004,push,45,54,25,75,pushing,7nDUaRiFae4,1551.92,1555.92,1280,720,1145,360,"[318, 360, 1038, 1080]"
bye/00008,bye,41,58,36,99,bye,X42PTiH4wf0,520.48,524.48,1920,1080,3376,855,"[855, 539, 2566, 2250]"
front/00000,front,46,53,31,69,front,DzPlkxMjiz8,88.2,92.2,1280,720,15606,629,"[651, 365, 1909, 1623]"
bye/00009,bye,49,59,34,83,bye,ooT9YJmbZpQ,820.2,824.2,960,720,1080,264,"[713, 377, 1241, 905]"
lift/00001,lift,47,52,23,64,lift,CuFL8VjGZj4,357.96,361.96,1920,1080,763,539,"[821, 539, 1900, 1618]"
three/00001,three,46,52,40,99,three,aRGJgxxH-U4,3.04,7.04,1920,1080,276,960,"[960, 547, 2880, 2467]"
catch/00000,catch,44,54,40,57,catching,MRCwU_rB0Kg,300.28,304.28,1280,720,3447,640,"[640, 360, 1920, 1640]"
throw/00002,throw,46,52,31,69,throw,q0jBzynyD9o,553.84,557.84,1920,1080,5970,840,"[840, 554, 2520, 2234]"
separate/00001,separate,44,54,16,55,separate,13F7xJWiFPI,378.32,382.32,1280,720,3029,640,"[640, 360, 1920, 1640]"
direction/00004,direction,43,56,14,66,direction,hk56-77juqY,316.04,320.04,1920,1080,595,697,"[1223, 539, 2617, 1933]"
around/00000,around,46,52,23,58,around,TFV_AOuZ9W0,407.36,411.36,1280,720,675,536,"[654, 360, 1726, 1432]"
stretch/00002,stretch,46,53,23,55,stretch,A9DjxzbZYyM,375.12,379.12,1280,720,1730,364,"[364, 374, 1092, 1102]"
high/00001,high,45,53,27,64,high,wueplM93GTI,102.32,106.32,1280,720,2732,521,"[759, 360, 1801, 1402]"
spin/00001,spin,45,53,25,83,spinning,eMZLFTLjtTQ,565.76,569.76,1920,1080,248,618,"[618, 582, 1854, 1818]"
four/00001,four,46,53,12,57,four,3lyo-c5knFA,184.64,188.64,1280,720,1371,520,"[759, 380, 1800, 1421]"
straight/00004,straight,46,52,25,54,straight,_8NpWbjD7ag,445.44,449.44,1920,1080,1067,674,"[1038, 534, 2387, 1883]"
bye/00010,bye,87,92,82,99,bye,67O4LIL9-8M,498.52,502.52,1920,1080,172,686,"[686, 550, 2058, 1922]"
three/00002,three,45,54,20,48,three,cIvEuAZKwok,478.76,482.76,1920,1080,420,673,"[1047, 548, 2394, 1895]"
mix/00002,mix,42,45,25,63,mixed,KEy_ocXnrdY,537.28,541.28,1280,720,580,473,"[646, 369, 1592, 1315]"
small/00001,small,45,53,32,57,small,jydt9tzzHkw,577.8,581.8,1280,720,2374,596,"[596, 359, 1789, 1552]"
flip/00001,flip,47,51,40,66,flip,NHIRDPlPYLk,151.72,155.72,1920,1080,1744,540,"[1201, 540, 2133, 1289]"
above/00002,above,48,55,28,58,above,ebMuwwusf5M,329.88,333.88,1280,720,1295,640,"[640, 360, 1920, 1640]"
long/00002,long,46,53,25,69,long,NTqMAEhBxok,121.44,125.44,1280,720,9587,549,"[549, 384, 1647, 1482]"
switch/00002,switch,46,52,25,84,switch,mV4wjSiyLBY,417.88,421.88,1920,1080,3319,825,"[1095, 555, 2745, 2205]"
throw/00003,throw,47,52,25,50,throw,39FhAfODnO0,273.4,277.4,1280,720,146,408,"[724, 385, 1541, 1202]"
five/00001,five,46,53,39,99,five,Jw91jh47jN0,2.24,6.24,1920,1080,546,855,"[929, 583, 2639, 2293]"
grow/00000,grow,46,52,18,65,grow,6oUeel2CYmY,276.68,280.68,1280,720,609,483,"[483, 359, 1450, 1326]"
bye/00011,bye,82,86,73,98,bye,_fvXo0siYDk,463.36,467.36,1920,1080,986,591,"[906, 557, 2088, 1739]"
direction/00005,direction,43,55,19,55,direction,mgN4ZHsMuKE,346.12,350.12,1920,1080,1904,960,"[960, 544, 2880, 2464]"
hold/00004,hold,46,52,40,68,held,ekDfFK2nfkQ,496.8,500.8,1920,1080,226,772,"[1148, 573, 2692, 2117]"
hello/00005,hello,45,53,25,50,hello,iknhCRaoAxY,905.56,909.56,1280,720,2232,391,"[391, 278, 1173, 1060]"
together/00005,together,56,64,25,69,together,pCCkQ9usiFA,100.44,104.44,1920,1080,173,563,"[829, 537, 1956, 1664]"
turn/00002,turn,46,53,25,55,turn,QuI30oaRfBY,62.76,66.76,1920,1080,449,526,"[1225, 549, 1738, 1077]"
global/00002,global,46,53,41,65,global,7bSIm02DTNw,333.32,337.32,1920,1080,415,872,"[885, 539, 2630, 2284]"
five/00002,five,46,52,31,78,five,gOQGLfAm9_E,15.84,19.84,1280,720,665,379,"[609, 369, 1368, 1128]"
build/00001,build,46,52,25,60,build,fJsDiqdUWsw,1076.96,1080.96,1920,1080,15172,624,"[1200, 612, 2448, 1860]"
big/00002,big,47,52,39,75,big,wh_kv2VWlX0,383.24,387.24,1280,720,1505,623,"[657, 376, 1903, 1622]"
push/00005,push,46,52,25,57,push,onn0XNlTFIM,450.56,454.56,1920,1080,463,863,"[912, 593, 2639, 2320]"
layer/00001,layer,68,76,48,99,layer,al8GsnHYPC8,187.8,191.8,1920,1080,397,600,"[702, 655, 1902, 1855]"
around/00001,around,45,54,0,99,around,CbwPGwGLIEE,146.84,150.84,960,720,214,294,"[312, 411, 900, 999]"
bye/00012,bye,77,84,77,94,bye,bQ2bdMBTs9w,444.28,448.28,1280,720,1365,611,"[611, 360, 1833, 1582]"
back/00000,back,46,52,31,57,back,FrHMPJOLsGM,909.2,913.2,1920,1080,2846,655,"[1111, 540, 2267, 1564]"
push/00006,push,46,52,33,67,pushes,k1m2UsFp0lk,235.32,239.32,1280,720,1503,417,"[817, 372, 1652, 1207]"
lift/00002,lift,46,52,43,61,lift,n84HlBeS4To,214.24,218.24,1920,1080,488,587,"[840, 501, 2015, 1676]"
hello/00006,hello,3,14,0,25,hello,xzzGiNrWu9A,0.0,4.0,1920,1080,415,960,"[960, 560, 2880, 2480]"
layer/00002,layer,43,55,1,99,layers,b-4n53FpMoc,695.24,699.24,1280,720,19041,640,"[640, 360, 1920, 1640]"
connect/00000,connect,46,53,20,66,connect,eNP6MLD0l5w,402.8,406.8,1920,1080,651,495,"[1107, 582, 1734, 1205]"
run/00000,run,33,35,0,34,run,apBwlHsrrjA,196.36,200.36,1920,1080,997,870,"[987, 539, 2728, 2280]"
expand/00003,expand,42,56,27,60,expanded,I5jgWFzWWEU,255.68,259.68,1920,1080,450,604,"[1252, 601, 2461, 1810]"
five/00003,five,45,53,36,75,five,mnGtP3AA3OI,64.12,68.12,1920,1080,132,641,"[1274, 540, 2557, 1823]"
above/00003,above,45,53,13,58,above,N1_iL0yepMQ,82.32,86.32,1920,1080,3507,334,"[1578, 882, 2246, 1550]"
huge/00004,huge,45,53,32,67,huge,Qs4jyj2JOos,10.84,14.84,1920,1080,747,667,"[1253, 590, 2587, 1924]"
lower/00000,lower,54,60,48,67,lower,m-Expl6tKYc,129.08,133.08,1280,720,1250,640,"[640, 361, 1920, 1641]"
link/00000,link,46,52,26,71,link,205PX0MYmkU,194.36,198.36,1280,716,2179,457,"[669, 302, 1583, 1216]"
layer/00003,layer,47,52,11,57,layer,tv0Ia4-nLDQ,404.48,408.48,1280,720,476,602,"[677, 359, 1882, 1564]"
switch/00003,switch,90,96,0,50,switch,gmuOW6qGbx4,410.2,414.2,1280,720,159,624,"[624, 359, 1873, 1608]"
direction/00006,direction,42,57,2,99,direction,AOxmQUUJYWI,27.2,31.2,1920,1080,7587,944,"[972, 540, 2860, 2428]"
